year,category,nominee,workers,winner
1959,Best Performance by an Orchestra - for Other Than Dancing,Billy May's Big Fat Brass,Billy May,TRUE
1959,"Best Performance, Documentary or Spoken Word",The Best Of The Stan Freberg Shows,Stan Freberg (narrator),TRUE
1959,Best R&B Vocal Performance by a Duo or Group,Tequila,"The Champs, Gene Alden, Buddy Bruce, Dave Burgess, Danny Flores",TRUE
1959,Best Recording for Children,The Chipmunk Song (Christmas Don't Be Late),Ross Bagdasarian,TRUE
1959,Best Rhythm & Blues Performance,Tequila,The Champs (artist),TRUE
1959,"Best Sound Track Album, Dramatic Picture Score or Original Cast",Gigi,André Previn (artist),TRUE
1959,"Best Soundtrack Album, Dramatic Picture Score or Original Cast",Gigi,André Previn,TRUE
1959,"Best Soundtrack Album, Dramatic Picture Score or Original Cast",I Want to Live!,Johnny Mandel,FALSE
1959,"Best Soundtrack Album, Dramatic Picture Score or Original Cast",The Bridge on the River Kwai,Malcolm Arnold,FALSE
1959,"Best Vocal Performance, Female",Ella Fitzgerald,,TRUE
1959,"Best Vocal Performance, Male",Perry Como,,TRUE
1959,Record of the Year,Nel Blu Dipinto di Blu (Volare).,Domenico Modugno,TRUE
1959,Song of the Year,Nel Blu Dipinto di Blu (Volare).,Domenico Modugno,TRUE
1961,Album of the Year,The Button-Down Mind of Bob Newhart,Bob Newhart,TRUE
1961,Best Album Cover,Latin A La Lee.,"Marvin Schwartz (art director), Peggy Lee (artist)",TRUE
1961,Best Album Created For Children,Let's All Sing With The Chipmunks.,Ross Bagdasarian,TRUE
1961,Best Arrangement,Mr. Lucky.,Henry Mancini (artist/arranger),TRUE
1961,Best Classical Opera Production,Puccini: Turandot.,"Erich Leinsdorf (artist), Rome Opera Orchestra (artists)",TRUE
1961,Best Classical Performance - Vocal Or Instrumental - Chamber Music,Conversations With The Guitar.,Laurindo Almeida (artist),TRUE
1961,Best Classical Performance- Choral (Including Oratorio),Handel: Messiah.,"Royal Philharmonic Orchestra (artists), Royal Philharmonic Chorus (artists)",TRUE
1961,Best Classical Performance- Concerto Or Instrumental Soloist,Brahms: Piano Concerto No. 2 In B Flat.,"Svyatoslav Richter (artist), Chicago Symphony Orchestra (artists)",TRUE
1961,Best Classical Performance- Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment),The Spanish Guitars Of Laurindo Almeida.,Laurindo Almeida (artist),TRUE
1961,Best Classical Performance- Orchestra,"Bartók: Music For Strings, Percussion And Celeste.",Chicago Symphony Orchestra (artists),TRUE
1961,Best Classical Performance- Vocal Soloist,A Program Of Song - Leontyne Price Recital.,Leontyne Price (artist),TRUE
1961,Best Comedy Performance - Musical,Jonathan And Darlene Edwards In Paris.,"Paul Weston (artist), Jo Stafford (artist)",TRUE
