year,category,nominee,workers,winner
1984,"Best Rock Vocal Performance, Female",Love Is A Battlefield.,Pat Benatar (artist),TRUE
1984,"Best Rock Vocal Performance, Male",Beat It.,Michael Jackson (artist),TRUE
1984,Best Soul Gospel Performance by a Duo or Group,I'm So Glad I'm Standing Here Today.,"Barbara Mandrell (artist), Bobby Jones (artist)",TRUE
1984,"Best Soul Gospel Performance, Female",We Sing Praises.,Sandra Crouch (artist),TRUE
1984,"Best Soul Gospel Performance, Male",I'll Rise Again.,Al Green (artist),TRUE
1984,Best Spoken Word or Non-musical Recording,Copland: A Lincoln Portrait.,William Warfield (artist),TRUE
1984,Best Traditional Blues Recording,Blues 'N' Jazz.,B.B. King (artist),TRUE
1984,Best Tropical Latin Performance,On Broadway.,Tito Puente (artist),TRUE
1984,Best Video Album,Duran Duran,,TRUE
1984,Best Video Album,Grace Jones,,FALSE
1984,Best Video Album,Olivia,Olivia Newton-John,FALSE
1984,"Best Video, Short Form",Girls On Film/Hungry Like The Wolf.,Duran Duran (artist),TRUE
1984,Best Vocal Arrangement for Two or More Voices,Be Bop Medley.,"Chaka Khan (artist/arranger), Arif Mardin (artist)",TRUE
1984,Classical Producer of the Year,"Marc Aubort (producer), Joanna Nickrenz (producer)",,TRUE
1984,"Producer of the Year, Non-Classical","Michael Jackson (producer), Quincy Jones (producer)",,TRUE
1984,Record of the Year,Beat It.,"Michael Jackson (artist/producer), Quincy Jones (producer)",TRUE
1984,Song of the Year,Every Breath You Take.,"The Police (artists), Sting (songwriter)",TRUE
1985,Album of the Year,Can't Slow Down.,"Lionel Richie (artist/producer), James Carmichael (producer)",TRUE
1985,Best Album Notes,Big Band Jazz.,"Count Basie (artist), Tommy Dorsey (artist), Benny Goodman (artist), Fletcher Henderson (artist), Chick Webb (artist), Paul Whiteman (artist), Gunther Schuller (notes writer), Martin Williams (notes writer)",TRUE
1985,Best Album Package,She's So Unusual.,"Cyndi Lauper (artist), Janet Perr (art director)",TRUE
1985,Best Album of Original Score Written for a Motion Picture or a Television Special,Purple Rain,"Prince, Lisa Coleman, Wendy Melvoin, John L. Nelson",TRUE
1985,Best Album of Original Score Written for a Motion Picture or a Television Special,Footloose,"Bill Wolfer, Dean Pitchford, Kenny Loggins, Tom Snow, Sammy Hagar, Michael Gore, Eric Carmen, Jim Steinman",FALSE
1985,Best Album of Original Score Written for a Motion Picture or a Television Special,Yentl,"Michel Legrand, Alan Bergman, Marilyn Bergman",FALSE
1985,Best Arrangement on an Instrumental,Grace (Gymnastics Theme).,"Quincy Jones (arranger/artist), Jeremy Lubbock (arranger)",TRUE
1985,Best Cast Show Album,Sunday In The Park With George.,"Stephen Sondheim (composer/lyricist), Thomas Z. Shepard (producer), Bernadette Peters (artist), Mandy Patinkin (artist)",TRUE
1985,Best Chamber Music Performance,Beethoven: The Late String Quartets.,Juilliard String Quartet (artists),TRUE
1985,Best Choral Performance (other than opera),Brahms: A German Requiem.,"Chicago Symphony Chorus (artists), Chicago Symphony Orchestra (artists), James Levine (conductor), Margaret Hills (choir director)",TRUE
1985,Best Classical Album,Amadeus.,"Neville Marriner (artist), John Strauss (producer)",TRUE
1985,Best Classical Orchestral Recording,Prokofiev: Symphony No. 5 In B Flat.,"Leonard Slatkin (artist), Saint Louis Symphony Orchestra (artists)",TRUE
1985,Best Classical Performance – Instrumental Soloist or Soloists (with orchestra),"Wynton Marsalis-Edita Gruberova-Handel, Purcell, Etc,.","Wynton Marsalis (artist), English Chamber Orchestra (artists)",TRUE
1985,Best Classical Performance – Instrumental Soloist or Soloists (without orchestra),Bach: The Unaccompanied Cello Suites.,Yo-Yo Ma (artist),TRUE
1985,Best Classical Vocal Soloist Performance,Ravel: Songs of Maurice Ravel.,"Pierre Boulez (artist), BBC Symphony Orchestra (artists), Ensemble Intercontemporain (artists)",TRUE
1985,Best Comedy Recording,Eat It.,'Weird Al' Yankovic,TRUE
1985,Best Comedy Recording,Rappin' Rodney.,Rodney Dangerfield,FALSE
1985,Best Country Instrumental Performance,Wheel Hoss.,Ricky Skaggs (artist),TRUE
1985,Best Country Performance by a Duo or Group with Vocal,Mama He's Crazy.,The Judds (artists),TRUE
1985,Best Country Song,City Of New Orleans.,"Steve Goodman (songwriter), Willie Nelson (artist)",TRUE
1985,"Best Country Vocal Performance, Female",In My Dreams.,Emmylou Harris (artist),TRUE
1985,"Best Country Vocal Performance, Male",That's The Way Love Goes.,Merle Haggard (artist),TRUE
1985,"Best Engineered Recording, Classical","Prokofiev: Symphony No. 5 in B Flat, Op. 100.","Paul Goodman (engineer), Leonard Slatkin (conductor)",TRUE
1985,"Best Engineered Recording, Non-Classical",17,"Chicago (artists), Humberto Gatica (engineer)",TRUE
1985,Best Ethnic or Traditional Folk Recording,Elizabeth Cotten Live!.,Elizabeth Cotten (artist),TRUE
1985,Best Gospel Performance by a Duo or Group,Keep The Flame Burning.,"Debby Boone (artist), Phil Driscoll (artist)",TRUE
1985,"Best Gospel Performance, Female",Angels.,Amy Grant (artist),TRUE
1985,"Best Gospel Performance, Male",Michael W. Smith.,Michael W. Smith (artist),TRUE
1985,Best Historical Album,Big Band Jazz.,"Count Basie (artist), Tommy Dorsey (artist), Benny Goodman (artist), Fletcher Henderson (artist), Chick Webb (artist), Paul Whiteman (artist), J.R. Taylor (producer)",TRUE
1985,Best Inspirational Performance,Forgive Me.,Donna Summer (artist),TRUE
1985,Best Instrumental Arrangement Accompanying Vocal(s),Hard Habit To Break.,"Chicago (artists), David Foster (arranger), Jeremy Lubbock (arranger)",TRUE
1985,Best Instrumental Composition,Olympic Fanfare & Theme.,John Williams (artist/composer),TRUE
1985,"Best Jazz Fusion Performance, Vocal or Instrumental",First Circle.,Pat Metheny (artist),TRUE
1985,"Best Jazz Instrumental Performance, Big Band",88 Basie Street.,Count Basie (artist),TRUE
1985,"Best Jazz Instrumental Performance, Group",New York Scene.,"Art Blakey (artist), Art Blakey & the Jazz Messengers (artists)",TRUE
1985,"Best Jazz Instrumental Performance, Soloist",Hot House Flowers.,Wynton Marsalis (soloist),TRUE
1985,Best Jazz Vocal Performance,Nothin' But The Blues.,Joe Williams (artist),TRUE
1985,Best Latin Pop Performance,Always In My Heart (Siempre En Mi Corazon).,Plácido Domingo (artist),TRUE
1985,Best Mexican-American Performance,Me Gustas Tal Como Eres.,"Luis Miguel (artist), Sheena Easton (artist)",TRUE
1985,"Best Music Video, Short Form",David Bowie.,David Bowie,TRUE
1985,Best New Artist,Cyndi Lauper (artist),,TRUE
1985,Best New Classical Composition,Barber: Antony And Cleopatra.,Samuel Barber (composer),TRUE
1985,Best Opera Recording,Bizet: Carmen.,"Orchestre national de France (artists), Les Enfants de la Maîtrise de Radio-France (artists), Ruggero Raimondi (artist), Michel Glotz (producer), Lorin Maazel (conductor), Plácido Domingo (artist), Faith Esham (artist), Julia Migenes (artist)",TRUE
1985,Best Pop Instrumental Performance,Ghostbusters (Instrumental).,Ray Parker Jr. (artist),TRUE
1985,Best Pop Performance by a Duo or Group with Vocal,Jump (For My Love).,The Pointer Sisters (artists),TRUE
1985,"Best Pop Vocal Performance, Female",What's Love Got To Do With It.,Tina Turner (artist),TRUE
1985,"Best Pop Vocal Performance, Male",Against All Odds (Take A Look At Me Now).,Phil Collins (artist),TRUE
1985,Best R&B Instrumental Performance,Sound System.,Herbie Hancock (artist),TRUE
1985,Best R&B Performance by a Duo or Group with Vocal,Yah Mo B There.,"Michael McDonald (artist), James Ingram (artist)",TRUE
1985,"Best R&B Vocal Performance, Female",I Feel For You.,Chaka Khan (artist),TRUE
1985,"Best R&B Vocal Performance, Male",Caribbean Queen (No More Love On The Run).,Billy Ocean (artist),TRUE
1985,Best Recording for Children,Where The Sidewalk Ends.,"Shel Silverstein (artist), Ron Haffkine (producer)",TRUE
1985,Best Reggae Recording,Anthem.,Black Uhuru (artist),TRUE
1985,Best Rhythm & Blues Song,I Feel For You.,"Prince (songwriter), Chaka Khan (artist)",TRUE
1985,Best Rock Instrumental Performance,Cinema.,Yes (artist),TRUE
1985,Best Rock Performance by a Duo or Group with Vocal,Purple Rain - Music From The Motion Picture.,"Prince (artist), The Revolution (artists)",TRUE
1985,"Best Rock Vocal Performance, Female",Better Be Good To Me.,Tina Turner (artist),TRUE
1985,"Best Rock Vocal Performance, Male",Dancing In The Dark.,Bruce Springsteen (artist),TRUE
1985,Best Soul Gospel Performance by a Duo or Group,Sailin' On The Sea Of Your Love.,"Shirley Caesar (artist), Al Green (artist)",TRUE
1985,"Best Soul Gospel Performance, Female",Sailin'.,Shirley Caesar (artist),TRUE
1985,"Best Soul Gospel Performance, Male",Always Remember.,Andraé Crouch (artist),TRUE
1985,Best Spoken Word Album,The Words Of Gandhi.,Ben Kingsley (artist),TRUE
1985,Best Traditional Blues Recording,Blues Explosion.,"Stevie Ray Vaughan (artist), Double Trouble (artist), John Hammond (artist), Sugar Blue (artist), The New Hawks (artist), The Blues Machine (artist), KoKo Taylor (artist), Luther 'Guitar Jr.' Johnson (artist), J.B. Hutto (artist)",TRUE
1985,Best Tropical Latin Performance,Palo Pa Rumba.,Eddie Palmieri (artist),TRUE
1985,Best Video Album,Michael Jackson: Thriller,Michael Jackson,TRUE
1985,Best Video Album,Billy Joel: Live from Long Island,Billy Joel,FALSE
1985,Best Video Album,Eurythmics: Sweet Dreams,"Annie Lennox, David A. Stewart",FALSE
1985,Best Video Album,We're All Devo,"Bob Casale, Gerald V. Casale, Mark Mothersbaugh, Robert Mothersbaugh, Alan Myers",FALSE
1985,Best Vocal Arrangement for Two or More Voices,Automatic.,"Anita Pointer (arranger), June Pointer (arranger), Ruth Pointer (arranger), The Pointer Sisters (artist)",TRUE
1985,Classical Producer Of The Year,Steven Epstein (producer),,TRUE
1985,"Producer of the Year, Non-Classical","Lionel Richie (producer), James Anthony Carmichael (producer), David Foster (producer)",,TRUE
1985,Record of the Year,What's Love Got To Do With It.,"Tina Turner (artist), Terry Britten (producer)",TRUE
1985,Song of the Year,What's Love Got To Do With It.,"Tina Turner (artist), Terry Britten (songwriter), Graham Lyle (songwriter)",TRUE
1986,Album of the Year,No Jacket Required.,"Hugh Padgham (producer), Phil Collins (artist/producer)",TRUE
1986,Best Album Notes,"Sam Cooke Live At The Harlem Square Club, 1963.","Peter Guralnick (writer), Sam Cooke (artist)",TRUE
1986,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Beverly Hills Cop (various artists).,"Harold Faltermeyer (composer), Marc Benno (composer), Keith Forsey (composer), Micki Free (composer), Jon Gilutin (composer), Hawk (composer), Howard Hewett (composer), Bunny Hull (composer), Howie Rice (composer), Sharon Robinson (composer), Danny Sembello (composer), Sue Sheridan (composer), Richard C. Teisen II (composer), Allee Willis (composer)",TRUE
1986,Best Album Package,Lush Life.,"Kosh (art director), Ron Larson (art director), Linda Ronstadt (artist)",TRUE
1986,Best Album of Original Score Written for a Motion Picture or Television Special,Beverly Hills Cop,"Harold Faltermeyer, Keith Forsey, Micki Free, Howard Hewett, Sharon Robinson, Danny Sembello, Sue Sheridan, Allee Willis",TRUE
1986,Best Album of Original Score Written for a Motion Picture or Television Special,Back to the Future,"Johnny Colla, Chris Hayes, Huey Lewis, Lindsey Buckingham, Alan Silvestri, Eric Clapton, Sean Hopper",FALSE
1986,Best Album of Original Score Written for a Motion Picture or Television Special,Witness,Maurice Jarre,FALSE
1986,Best Arrangement on an Instrumental,Early A.M. Attitude.,"Dave Grusin (artist/arranger), Lee Ritenour (artist/arranger)",TRUE
1986,Best Cast Show Album,West Side Story.,"John McClure (producer), Kiri Te Kanawa (artist), Jose Carreras (artist)",TRUE
1986,Best Chamber Music Performance,Brahms: Cello And Piano Sonatas In E Minor And F.,"Yo-Yo Ma (artist), Emanuel Ax (artist)",TRUE
1986,Best Choral Performance (other than opera),Berlioz: Requiem.,"Robert Shaw (conductor), Atlanta Symphony Orchestra (artists), Atlanta Symphony Chorus (artists)",TRUE
1986,Best Classical Album,Berlioz: Requiem.,"Robert Shaw (artist), John Aler (artist), Robert Woods (producer)",TRUE
1986,Best Classical Orchestral Recording,Faure: Pelleas Et Melisande.,"Robert Shaw (conductor), Atlanta Symphony Orchestra (artists)",TRUE
1986,Best Classical Performance - Instrumental Soloist or Soloists (with or without orchestra),"Elgar: Cello Concerto, Op. 85/Walton: Concerto For Cello & Orch.","Yo-Yo Ma (artist), London Symphony Orchestra (artists)",TRUE
1986,Best Classical Performance - Instrumental Soloist or Soloists (without orchestra),Ravel: Gaspard De La Nuit; Pavane Pour Une Infante Defunte; Valses Nobles Et Sentimentales.,Vladimir Ashkenazy (artist),TRUE
1986,Best Classical Vocal Soloist Performance,Berlioz: Requiem.,"Robert Shaw (artist), Atlanta Symphony Orchestra (artists)",TRUE
1986,Best Comedy Recording,Whoopi Goldberg Original Broadway Show Record,Whoopi Goldberg,TRUE
1986,Best Contemporary Composition,Lloyd Webber: Requiem.,Andrew Lloyd Webber (composer),TRUE
1986,"Best Country Instrumental Performance (orchestra, group or soloist)",Cosmic Square Dance.,"Mark Knopfler (artist), Chet Atkins (artist)",TRUE
1986,Best Country Performance by a Duo or Group with Vocal,Why Not Me.,The Judds (artist),TRUE
1986,Best Country Song,The Highwayman,Jimmy Webb (songwriter),TRUE
1986,"Best Country Vocal Performance, Female",I Don't Know Why You Don't Want Me.,Rosanne Cash,TRUE
1986,"Best Country Vocal Performance, Male",Lost In The Fifties Tonight (In The Still Of The Night).,Ronnie Milsap (artist),TRUE
1986,"Best Engineered Recording, Classical",Berlioz: Requiem.,"Jack Renner (engineer), Robert Shaw (conductor)",TRUE
1986,"Best Engineered Recording, Non-Classical",Brothers In Arms.,"Dire Straits (artist), Neil Dorfsman (engineer)",TRUE
1986,Best Ethnic or Traditional Folk Recording,My Toot Toot.,Rockin' Sidney (artist),TRUE
1986,"Best Gospel Performance by a Duo or Group, Choir or Chorus",I've Just Seen Jesus.,"Sandi Patty (artist), Larnelle Harris (artist)",TRUE
1986,"Best Gospel Performance, Female",Unguarded.,Amy Grant (artist),TRUE
1986,"Best Gospel Performance, Male",How Excellent Is Thy Name.,Larnelle Harris (artist),TRUE
1986,Best Historical Album,RCA/Met - 100 Singers - 100 Years (various artists).,,TRUE
1986,Best Inspirational Performance,Come Sunday.,Jennifer Holliday (artist),TRUE
1986,Best Instrumental Arrangement Accompanying Vocals,Lush Life.,"Linda Ronstadt (artist), Nelson Riddle (arranger)",TRUE
1986,Best Instrumental Composition,Miami Vice Theme.,Jan Hammer (artist/composer),TRUE
1986,"Best Jazz Fusion Performance, Vocal or Instrumental",Straight To The Heart.,David Sanborn (artist),TRUE
1986,"Best Jazz Instrumental Performance, Big Band",The Cotton Club - Original Motion Picture Soundtrack.,"John Barry (artist), Bob Wilber (artist)",TRUE
1986,"Best Jazz Instrumental Performance, Group",Black Codes From The Underground.,Wynton Marsalis Group (artists),TRUE
1986,"Best Jazz Instrumental Performance, Soloist",Black Codes From The Underground.,Wynton Marsalis (soloist),TRUE
1986,"Best Jazz Vocal Performance, Duo or Group",Vocalese.,The Manhattan Transfer (artists),TRUE
1986,"Best Jazz Vocal Performance, Female",Cleo At Carnegie - The 10th Anniversary Concert.,Cleo Laine (artist),TRUE
1986,"Best Jazz Vocal Performance, Male",Another Night In Tunisia.,"Jon Hendricks (artist), Bobby McFerrin (artist)",TRUE
1986,Best Latin Pop Performance,Es Fácil Amar.,Lani Hall (artist),TRUE
1986,Best Mexican-American Performance,Simplemente Mujer.,Vikki Carr (artist),TRUE
1986,"Best Music Video, Long Form",Huey Lewis & The News - The Heart Of Rock 'n' Roll.,"Mario Cipollina (artist), Johnny Colla (artist), Bill Gibson (artist), Chris Hayes (artist), Sean Hopper (artist), Huey Lewis (artist), Bruce Gowers (video director)",TRUE
1986,"Best Music Video, Long Form",The Police: Synchronicity Concert,"The Police (artist), Kevin Godley (video director), Lol Creme (video director)",FALSE
1986,"Best Music Video, Long Form",Wham!: The Video,Wham! (artist),FALSE
1986,"Best Music Video, Short Form",We Are The World - The Video Event. The artist USA for Africa did not receive a Grammy Award for this win.,We Are The World: The Story Behind The Song,TRUE
1986,"Best Music Video, Short Form",Phil Collins: No Jacket Required,"Phil Collins (artist), James Yukich (video director), Paul Flattery (video producer)",FALSE
1986,Best New Artist,Sade (artist),,TRUE
1986,Best New Artist,Julian Lennon,,FALSE
1986,Best New Classical Artist,Stravinsky: L' Histoire Du Soldat (The Soldier's Tale - Suite) - (also) - Walton: Façade (An Instrumental Suite In The Original Scoring).,,TRUE
1986,Best Opera Recording,Schoenberg: Moses Und Aron.,"Georg Solti (conductor), Franz Mazura (artist), Philip Langridge (artist), James Mallison (producer), Chicago Symphony Orchestra (artists), Chicago Symphony Chorus (artists)",TRUE
1986,Best Polka Recording,70 Years Of Hits.,Frankie Yankovic (artist),TRUE
1986,"Best Pop Instrumental Performance, (Orchestra, Group or Soloist)",Miami Vice Theme.,Jan Hammer (artist),TRUE
1986,Best Pop Performance by a Duo or Group with Vocals,We Are the World. The artist USA for Africa did not receive a Grammy Award for this win.,Quincy Jones (producer),TRUE
1986,"Best Pop Vocal Performance, Female",Saving All My Love For You.,Whitney Houston (artist),TRUE
1986,"Best Pop Vocal Performance, Male",No Jacket Required.,Phil Collins (artist),TRUE
1986,"Best R&B Instrumental Performance (Orchestra, Group or Soloist)",Musician.,Ernie Watts (artist),TRUE
1986,Best R&B Performance by a Duo or Group with Vocal,Nightshift.,The Commodores (artist),TRUE
1986,"Best R&B Vocal Performance, Female",Freeway Of Love.,Aretha Franklin (artist),TRUE
1986,"Best R&B Vocal Performance, Male",In Square Circle.,Stevie Wonder (artist),TRUE
1986,Best Recording for Children,Follow That Bird - Original Motion Picture Soundtrack.,"Jim Henson (artist), Sesame Street Cast (artists)",TRUE
1986,Best Recording for Children,The Velveteen Rabbit.,Meryl Streep,FALSE
1986,Best Reggae Recording,Cliff Hanger.,Jimmy Cliff (artist),TRUE
1986,Best Rhythm & Blues Song,Freeway Of Love.,"Aretha Franklin (artist), Jeffrey Cohen (songwriter), Narada Michael Walden (songwriter)",TRUE
1986,"Best Rock Instrumental Performance (Orchestra, Group or Soloist)",Escape.,Jeff Beck (artist),TRUE
1986,Best Rock Performance by a Duo or Group with Vocal,Money for Nothing.,Dire Straits (artists),TRUE
1986,Best Rock Performance by a Duo or Group with Vocal,We Built This City.,Jefferson Starship,FALSE
1986,"Best Rock Vocal Performance, Female",One Of The Living.,Tina Turner (artist),TRUE
1986,"Best Rock Vocal Performance, Male",The Boys Of Summer.,Don Henley (artist),TRUE
1986,"Best Soul Gospel Performance by a Duo or Group, Choir or Chorus",Tomorrow.,The Winans (artists),TRUE
1986,"Best Soul Gospel Performance, Female",Martin.,Shirley Caesar (artist),TRUE
1986,"Best Soul Gospel Performance, Male",Bring Back The Days Of Yea And Nay.,Marvin Winans (artist),TRUE
1986,Best Spoken Word or Non-musical Recording,Ma Rainey's Black Bottom.,Original Broadway Cast (artist),TRUE
1986,Best Traditional Blues Recording,My Guitar Sings The Blues.,B.B. King (artist),TRUE
1986,Best Tropical Latin Performance,Solito.,Eddie Palmieri (artist),TRUE
1986,Best Vocal Arrangement for Two or More Voices,Another Night In Tunisia.,"The Manhattan Transfer (artist), Cheryl Bentyne (arranger), Bobby McFerrin (arranger)",TRUE
1986,Classical Producer of the Year,Robert Woods (producer),,TRUE
1986,Producer of the Year (Non-Classical),"Phil Collins (producer), Hugh Padgham (producer)",,TRUE
1986,Record of the Year,We Are the World (various artists).,Quincy Jones (producer),TRUE
1986,Song of the Year,We Are the World (various artists).,"Lionel Richie (songwriter), Michael Jackson (songwriter)",TRUE
1987,Album of the Year,Graceland.,Paul Simon (artist/producer),TRUE
1987,Best Album Notes,The Voice - The Columbia Years 1943-1952.,"Frank Conroy (writer), Andrew Sarris (writer), Jonathan Schwartz (writer), Gary Giddins (writer), Stephen Holden (writer), Wilfrid Sheed (writer), Murray Kempton (writer), Frank Sinatra (artist)",TRUE
1987,Best Album Package,Tutu.,"Eiko Ishioka (art director), Miles Davis (artist)",TRUE
1987,Best Arrangement on an Instrumental,Suite Memories.,"Bill Watrous (artist), Patrick Williams (arranger/artist)",TRUE
1987,Best Chamber Music Performance,Beethoven: Cello And Piano Sonata No. 4 In C & Variations.,"Emanuel Ax (artist), Yo-Yo Ma (artist)",TRUE
1987,Best Classical Album,"Horowitz - The Studio Recordings, New York 1985.","Vladimir Horowitz (artist), Thomas Frost (producer)",TRUE
1987,Best Classical Orchestral Recording,Liszt: A Faust Symphony.,"Georg Solti (conductor), Chicago Symphony Orchestra (artists)",TRUE
1987,Best Classical Performance - Instrumental Soloist or Soloists (with or without orchestra),"Horowitz - The Studio Recordings, New York 1985.",Vladimir Horowitz (artist),TRUE
1987,Best Classical Vocal Soloist Performance,Mozart: Kathleen Battle Sings Mozart.,"André Previn (artist), Royal Philharmonic Orchestra (artists)",TRUE
1987,Best Comedy Recording,"Those Of You With Or Without Children, You'll Understand.",Bill Cosby,TRUE
1987,Best Comedy Recording,Twist And Shout.,George Carlin: Playin' with Your Head,FALSE
1987,Best Comedy Recording,I Have a Pony,Steven Wright,FALSE
1987,Best Contemporary Composition,Lutoslawski: Symphony No. 3.,Witold Lutoslawski (composer),TRUE
1987,Best Contemporary Folk Recording,Tribute to Steve Goodman.,"Al Bunetta (producer), Dan Einstein (producer), Hank Neuberger (producer), Arlo Guthrie (artist), John Hartford (artist), Richie Havens (artist), Bonnie Koloc (artist), John Prine (artist), Nitty Gritty Dirt Band (artists)",TRUE
1987,"Best Country Instrumental Performance (orchestra, group or soloist)",Raisin' The Dickins.,Ricky Skaggs (artists),TRUE
1987,Best Country Performance by a Duo or Group with Vocal,Grandpa (Tell Me 'Bout the Good Ol' Days).,The Judds (artists),TRUE
1987,Best Country Song,Grandpa (Tell Me 'Bout the Good Ol' Days).,"Jamie O'Hara (songwriter), The Judds (artists)",TRUE
1987,"Best Country Vocal Performance, Female",Whoever's in New England.,Reba McEntire (artist),TRUE
1987,"Best Country Vocal Performance, Male",Lost in the Fifties Tonight.,Ronnie Milsap (artist),TRUE
1987,"Best Engineered Recording, Classical","Horowitz - The Studio Recordings, New York 1985.","Paul Goodman (engineer), Vladimir Horowitz (artist)",TRUE
1987,"Best Engineered Recording, Non-Classical",Back In The High Life.,"Jason Corsaro (engineer), Tom Lord Alge (engineer), Steve Winwood (artist)",TRUE
1987,"Best Gospel Performance by a Duo or Group, Choir or Chorus",They Say.,"Sandi Patty (artist), Deniece Williams (artist)",TRUE
1987,"Best Gospel Performance, Female",Morning Like This.,Sandi Patty (artist),TRUE
1987,"Best Gospel Performance, Male",Triumph.,Philip Bailey (artist),TRUE
1987,Best Historical Album,"Atlantic Rhythm And Blues 1947-1974, Vols. 1-7 (various artists).","Brook Benton (artist), Ray Charles (artist), The Coasters (artists), The Drifters (artists), Roberta Flack (artist), Aretha Franklin (artist), Otis Redding (artist)",TRUE
1987,Best Instrumental Arrangement Accompanying Vocals,Somewhere.,"David Foster (arranger), Barbra Streisand (artist)",TRUE
1987,Best Instrumental Composition,Out Of Africa.,John Barry (composer),TRUE
1987,"Best Jazz Fusion Performance, Vocal or Instrumental",Double Vision.,"Bob James (artist), David Sanborn (artist)",TRUE
1987,"Best Jazz Instrumental Performance, Big Band",The Tonight Show Band with Doc Severinsen.,Doc Severinsen (artist),TRUE
1987,"Best Jazz Instrumental Performance, Group",J Mood.,Wynton Marsalis (artist),TRUE
1987,"Best Jazz Instrumental Performance, Soloist",Tutu.,Miles Davis (artist),TRUE
1987,"Best Jazz Vocal Performance, Duo or Group",Free Fall.,2 2 Plus (artist),TRUE
1987,"Best Jazz Vocal Performance, Female",Timeless.,Diane Schuur (artist),TRUE
1987,"Best Jazz Vocal Performance, Male",Round Midnight.,Bobby McFerrin (artist),TRUE
1987,Best Latin Pop Performance,Le Lo Lai.,José Feliciano (artist),TRUE
1987,Best Mexican-American Performance,Ay Te Dejo en San Antonio.,Flaco Jiménez (artist),TRUE
1987,"Best Music Video, Long Form",Bring on the Night,"Sting (artist/video producer), Michael Apted (video director)",TRUE
1987,"Best Music Video, Long Form",Frank Sinatra: Portrait of an Album,"Frank Sinatra (artist), Emil G. Davidson (video director)",FALSE
1987,"Best Music Video, Long Form",White City,"Pete Townshend (artist), Richard Lowenstein (video director)",FALSE
1987,"Best Music Video, Short Form",Dire Straits: Brothers in Arms,"Dire Straits (artist), Bill Mather (video director), Jeff Brown (video producer)",TRUE
1987,"Best Music Video, Short Form",Supertramp: Brother Where You Bound,"Supertramp (artist), Rene Daalder (video director)",FALSE
1987,Best Musical Cast Show Album,Follies in Concert.,"Thomas Z. Shepard (producer), Original 1986 Cast (artists)",TRUE
1987,Best New Age Recording,Down to the Moon.,,TRUE
1987,Best New Artist,"Bruce Hornsby & The Range, (artists)",,TRUE
1987,Best Opera Recording,Bernstein: Candide.,"New York City Opera Orchestra (artists), Elizabeth Ostrow (producer), John Mauceri (conductor), Scott Reeve (artist), Erie Mills (artist), John Lankston (artist), Jack Harrold (artist), James Billings (artist), Maris Clement (artist), Joyce Castle (artist), David Eisler (artist), Chicago Symphony Chorus (artists)",TRUE
1987,Best Polka Recording,Another Polka Celebration.,Eddie Blazonczyk's Versatones (artists),TRUE
1987,"Best Pop Instrumental Performance, (Orchestra, Group or Soloist)",Top Gun Anthem.,Top Gun,TRUE
1987,Best Pop Performance by a Duo or Group with Vocal,That's What Friends Are For.,"Dionne Warwick (artist), Elton John (artist), Gladys Knight (artist), Stevie Wonder (artist)",TRUE
1987,"Best Pop Vocal Performance, Female",The Broadway Album.,Barbra Streisand (artist),TRUE
1987,"Best Pop Vocal Performance, Male",Higher Love.,Steve Winwood (artist),TRUE
1987,"Best R&B Instrumental Performance (Orchestra, Group or Soloist)",And You Know That.,Yellowjackets (artists),TRUE
1987,Best R&B Performance by a Duo or Group with Vocal,Kiss.,"Prince (artist), The Revolution (artist)",TRUE
1987,"Best R&B Vocal Performance, Female",Rapture.,Anita Baker (artist),TRUE
1987,"Best R&B Vocal Performance, Male",Living in America.,James Brown (artist),TRUE
1987,Best Recording for Children,The Alphabet.,"Jim Henson (producer), Kathryn King (producer), Geri Van Rees (producer), Sesame Street Cast (artists)",TRUE
1987,Best Reggae Recording,Babylon The Bandit.,Steel Pulse (artists),TRUE
1987,Best Rhythm & Blues Song,Sweet Love.,"Anita Baker (artist/songwriter), Gary Bias (songwriter), Louis A. Johnson (songwriter)",TRUE
1987,"Best Rock Instrumental Performance (Orchestra, Group or Soloist)",Peter Gunn.,"The Art of Noise (artists), Duane Eddy (artist)",TRUE
1987,Best Rock Performance by a Duo or Group with Vocal,Missionary Man.,Eurythmics (artists),TRUE
1987,"Best Rock Vocal Performance, Female",Back Where You Started.,Tina Turner (artist),TRUE
1987,"Best Rock Vocal Performance, Male",Addicted to Love.,Robert Palmer (artist),TRUE
1987,"Best Soul Gospel Performance by a Duo or Group, Choir or Chorus",Let My People Go.,The Winans (artists),TRUE
1987,"Best Soul Gospel Performance, Female",I Surrender All.,Deniece Williams (artist),TRUE
1987,"Best Soul Gospel Performance, Male",Going Away.,Al Green (artist),TRUE
1987,Best Spoken Word or Non-musical Recording,Interviews From The Class Of '55 Recording Sessions.,"Johnny Cash (artist), Carl Perkins (artist), Jerry Lee Lewis (artist), Roy Orbison (artist), Sam Phillips (artist), Rick Nelson (artist), Chips Moman (artist)",TRUE
1987,Best Spoken Word or Non-musical Recording,Gulliver,John Gielgud,FALSE
1987,Best Traditional Blues Recording,Showdown!.,"Albert Collins (artist), Johnny Copeland (artist), Robert Cray (artist)",TRUE
1987,Best Traditional Folk Recording,Riding the Midnight Train.,Doc Watson (artist),TRUE
1987,Best Tropical Latin Performance,Escenas.,Rubén Blades (artist),TRUE
